Participant003-1,Participant006-2,Participant013-1,Participant021-1,Participant022-1,Participant026-1,Participant035-2,Participant039-1,Participant042-2,Participant046-1,Participant047-1,Participant051-2,Participant054-1,Participant062-2,Participant068-2,Participant079-1,Participant081-2,Participant092-2,Participant093-1,Participant096-1,Participant110-1,Participant120-2,Participant123-2,Participant125-2,Participant126-1,Participant129-1,Participant132-2,Participant136-1,Participant140-1,Participant164-1,Participant166-1,Participant175-2,Participant180-2,Participant184-2,Participant195-2,Participant205-1,Participant209-1,Participant211-1,Participant219-2,Participant220-2,Participant221-2,Participant224-1,Participant228-2,Participant232-2,Participant233-2,Participant235-2,Participant242-2,Participant244-2,Participant246-2,Participant248-1
Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
124,58,83,53,100,17,33,100,25,76,85,92,31,0,30,84,78,19,38,50,26,25,39,39,25,56,48,95,52,76,76,2,54,51,0,30,56,58,20,42,42,2,72,1,0,41,78,42,26,9
117,70,77,49,100,0,62,98,24,66,84,85,35,11,27,73,83,27,35,46,26,14,52,43,31,54,49,89,54,81,73,0,60,45,0,36,59,58,22,41,50,31,66,14,0,46,67,46,24,17
112,61,79,51,97,19,61,75,25,63,96,61,34,0,57,78,86,13,50,47,17,43,61,47,32,50,40,80,43,75,27,11,65,56,1,23,63,54,24,30,48,32,50,34,0,51,55,42,32,31
127,62,92,54,97,26,72,90,25,57,79,60,36,0,32,80,90,0,57,50,13,39,47,44,33,46,51,88,48,90,14,11,68,55,0,30,61,73,11,0,25,39,59,45,27,58,91,45,34,31

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
71,66,39,11,43,15,41,69,17,64,61,55,55,0,0,31,74,0,22,33,13,35,38,9,21,13,19,34,41,44,1,12,42,35,0,18,44,70,0,0,16,23,26,15,23,31,46,36,19,11
50,22,35,1,31,4,30,41,6,28,29,31,23,3,0,0,20,0,0,19,13,17,9,0,9,0,0,0,2,30,31,14,21,36,0,6,25,67,0,0,5,6,28,0,6,0,36,14,6,0
27,49,14,1,35,3,25,43,5,18,44,25,0,5,0,53,74,4,2,12,2,10,0,0,9,0,0,0,16,8,29,13,19,17,0,7,24,26,0,9,3,0,0,0,3,0,30,15,3,0
0,27,9,0,16,0,9,14,2,23,37,28,0,0,0,25,48,0,0,1,2,8,0,0,7,0,0,0,0,9,13,6,22,14,0,2,23,24,0,0,8,0,25,5,0,0,14,14,3,0
5,5,4,0,8,0,20,35,6,0,36,24,0,0,0,22,76,0,0,12,1,3,11,10,7,0,0,0,0,7,22,5,15,23,0,0,26,0,10,0,16,0,28,38,0,0,21,17,1,0

Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace 
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
30,2,6,158,19,36,0,14,0,4,6,20,1,0,0,60,6,1,124,7,25,1,3,0,0,171,0,52,12,112,14,1,1,0,1,5,2,0,28,29,7,11,2,0,0,0,0,0,0,2
32,0,6,116,26,0,1,1,3,0,12,354,0,0,0,53,8,0,158,3,12,0,0,3,0,150,0,91,11,131,22,3,0,42,0,1,8,3,0,9,0,6,0,0,0,0,0,0,0,6
32,0,6,127,21,0,2,18,0,2,5,0,1,0,0,83,1,0,155,8,9,0,0,0,1,163,0,84,4,191,17,0,0,4,0,2,7,4,10,0,0,6,0,0,0,0,0,0,0,11
25,0,8,100,8,0,0,11,0,3,15,228,1,0,0,44,2,0,156,5,7,0,0,0,1,145,0,118,6,180,19,0,0,0,0,7,12,3,0,0,1,11,0,0,0,0,0,0,0,12
32,0,18,138,12,0,0,15,0,6,15,0,0,3,0,50,0,0,147,6,13,0,0,0,5,151,0,208,8,159,71,0,0,0,0,3,11,9,0,0,0,7,0,0,0,0,0,0,0,5

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
7,57,1,33,1,0,10,2,0,0,6,462,3,1,0,3,56,3,28,4,1,2,0,19,1,15,6,22,1,29,25,1,2,68,0,2,1,0,49,26,0,1,5,0,5,4,7,44,0,2
0,93,0,0,0,0,5,0,0,1,0,180,0,0,5,0,80,3,4,0,0,1,8,38,0,0,10,0,0,12,0,0,2,105,0,0,0,0,63,103,1,0,22,0,0,16,35,109,0,0
0,115,0,2,0,0,14,0,1,9,0,102,0,13,5,0,69,1,0,0,0,6,5,40,0,0,9,0,0,0,17,0,12,105,0,0,0,0,107,92,5,0,13,3,0,15,35,87,0,0
0,101,0,0,0,0,7,0,0,5,0,110,0,0,5,0,80,1,0,0,0,1,7,12,0,0,7,0,1,9,0,0,27,106,0,0,0,0,101,63,0,0,9,10,0,17,37,94,2,0
0,98,0,0,0,0,9,0,1,0,0,71,0,0,0,0,73,0,0,0,0,4,17,40,0,0,6,0,0,7,0,4,6,108,0,0,0,0,49,0,2,0,6,7,5,20,34,93,0,0

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
14,78,2,0,11,0,4,1,3,11,4,60,0,0,0,10,50,0,0,0,0,5,6,1,0,0,8,0,6,68,0,4,6,80,0,0,0,0,0,0,1,0,9,2,14,19,19,96,2,0
17,16,2,0,4,0,4,3,1,13,7,36,1,5,0,20,13,0,0,4,1,0,3,0,2,0,0,0,0,45,12,3,0,82,0,0,0,0,0,0,0,2,8,0,2,0,9,49,0,0
0,35,4,0,4,0,6,8,0,7,10,3,0,6,0,4,17,0,13,0,0,2,0,0,2,0,0,0,0,29,4,5,6,36,0,0,0,3,0,26,0,0,0,0,3,0,15,46,0,0
2,4,2,0,0,0,5,11,0,11,6,4,0,7,0,56,6,0,0,0,0,8,0,0,0,0,0,0,0,23,1,2,0,24,0,1,0,0,0,0,0,0,28,1,1,0,3,45,1,1
2,4,2,0,1,0,3,11,0,0,3,4,0,0,0,33,23,0,0,1,0,0,1,12,0,0,0,0,0,13,21,0,1,56,0,3,0,0,26,0,1,0,7,16,0,0,8,58,0,0

